PanelID,Name,Version,Genes,GeneCount,DateOfCheck
1207,Acute intermittent porphyria,1.3,HMBS,1,2025-11-21
1141,Acute rhabdomyolysis,2.6,ACAD9;ACADM;ACADVL;AGL;ALDOA;AMPD1;ANO5;CACNA1S;CASQ1;CAV3;CHKB;COQ4;COQ8A;CPT2;CYP2C8;DGUOK;DMD;DYSF;ENO3;ETFA;ETFB;ETFDH;FDX2;FKRP;FLAD1;GAA;GBE1;GMPPB;GYG1;GYS1;HADHA;HADHB;ISCU;LAMP2;LDHA;LPIN1;MLIP;MT-CO1;MT-CO2;MYH1;OBSCN;PFKM;PGAM2;PGK1;PGM1;PHKA1;PHKB;PHKG1;POC5;POLG;POLG2;PRKAG2;PYGM;RBCK1;RRM2B;RYR1;SCN4A;SGCA;SIL1;SLC22A12;SLC22A5;SLC2A9;SUCLA2;TANGO2;TK2;TSEN54;TSFM;TYMP;XPNPEP3,69,2025-11-21
399,Additional findings health related,0.116,APC;APOB;BRCA1;BRCA2;CFTR;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;PCSK9;RET;VHL,14,2025-11-21
933,Additional findings health related - adults,2.2,APC;APOB;BRCA1;BRCA2;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;PCSK9;RET;VHL,13,2025-11-21
929,Additional findings health related - adult specific,1.2,BRCA1;BRCA2;MLH1;MSH2;MSH6;MUTYH,6,2025-11-21
930,Additional findings health related - children,1.0,APC;APOB;LDLR;MEN1;PCSK9;RET;VHL,7,2025-11-21
934,Additional findings health related - CNV analysis adults,2.2,APC;BRCA1;BRCA2;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;VHL,10,2025-11-21
931,Additional findings health related - CNV analysis adult specific,1.2,BRCA1;BRCA2;MLH1;MSH2;MSH6;MUTYH,6,2025-11-21
932,Additional findings health related - CNV analysis children,1.0,APC;LDLR;MEN1;VHL,4,2025-11-21
774,Additional findings reproductive carrier status,1.2,CFTR,1,2025-11-21
